time,magnitude
47124.02,7.12
47124.86,7.12
47125.95,7.14
47126.94,7.14
47128.84,7.15
47129.0,7.15
47130.23,7.1600
47130.24,7.1600
47130.26,7.1600
47130.87,7.16
47131.98,7.17
47132.92,7.18
47134.93,7.19
47135.19,7.1900
47135.20,7.1900
47135.89,7.21
47137.96,7.21
47140.84,7.23
47140.86,7.22
47141.89,7.24
47142.31,7.2300
47142.32,7.2500
47142.85,7.24
47143.86,7.25
47143.98,7.25
47144.78,7.25
47145.16,7.2600
47145.18,7.2700
47145.19,7.2700
47146.83,7.26
47147.13,7.2700
47147.15,7.2800
47147.79,7.27
47148.86,7.29
47151.15,7.3000
47151.16,7.3000
47151.17,7.3000
47151.84,7.3
47151.94,7.29
47152.93,7.31
47154.01,7.32
47154.94,7.33
47155.82,7.34
47156.83,7.34
47157.81,7.34
47158.14,7.3300
47158.15,7.3400
47158.16,7.3500
47158.84,7.35
47159.88,7.36
47162.08,7.36
47162.87,7.38
47163.9,7.38
47164.89,7.39
47165.9,7.39
47166.10,7.4100
47166.11,7.3800
47166.12,7.4000
47166.94,7.4
47167.87,7.41
47168.99,7.41
47169.81,7.42
47170.79,7.42
47171.11,7.4300
47171.12,7.4300
47171.13,7.4300
47171.9,7.43
47172.88,7.44
47173.9,7.45
47174.9,7.46
47175.8,7.47
47176.82,7.47
47177.88,7.48
47178.10,7.4700
47178.11,7.4600
47178.12,7.4800
47180.09,7.4800
47180.10,7.4900
47180.11,7.4800
47181.07,7.5200
47181.95,7.51
47182.96,7.51
47184.97,7.53
47185.96,7.54
47186.82,7.54
47187.09,7.5200
47187.10,7.5400
47187.81,7.55
47188.81,7.55
47189.11,7.5400
47189.12,7.5400
47189.14,7.5400
47190.79,7.56
47191.87,7.57
47192.83,7.58
47193.79,7.59
47194.12,7.5800
47194.13,7.5900
47194.8,7.59
47195.13,7.5900
47195.14,7.5900
47195.15,7.5900
47195.79,7.6
47197.94,7.61
47198.09,7.6100
47198.10,7.6200
47200.95,7.63
47201.94,7.64
47202.94,7.64
47203.87,7.66
47204.91,7.68
47205.08,7.6500
47205.09,7.6600
47208.9,7.69
