#A list of time and magnitude for the U band of 1987A.
time,magnitude
47135.19,8.7300
47135.20,8.7300
47135.89,8.72
47137.96,8.71
47140.84,8.71
47140.86,8.71
47141.89,8.7
47142.31,8.7300
47142.32,8.7500
47142.85,8.7
47143.86,8.71
47143.98,8.72
47144.78,8.67
47145.16,8.7500
47145.18,8.7600
47145.19,8.7500
47146.83,8.71
47147.13,8.7600
47147.15,8.7800
47147.79,8.69
47148.86,8.71
47151.15,8.7600
47151.16,8.7600
47151.17,8.7400
47151.84,8.72
47151.94,8.72
47152.93,8.72
47154.01,8.72
47154.94,8.72
47155.82,8.74
47156.83,8.73
47157.81,8.72
47158.14,8.7500
47158.15,8.7600
47158.16,8.7600
47158.84,8.74
47159.88,8.73
47162.08,8.72
47162.87,8.73
47163.9,8.73
47164.89,8.74
47165.9,8.74
47166.10,8.7800
47166.11,8.7600
47166.12,8.7600
47166.94,8.75
47167.87,8.75
47168.99,8.75
47169.81,8.76
47170.79,8.75
47171.11,8.7800
47171.12,8.7700
47171.13,8.7800
47171.9,8.75
47172.88,8.75
47173.9,8.76
47174.9,8.76
47175.8,8.77
47176.82,8.77
47177.88,8.79
47178.10,8.7800
47178.11,8.8100
47178.12,8.8300
47180.09,8.7900
47180.10,8.8200
47180.11,8.7900
47181.07,8.8000
47181.95,8.8
47182.96,8.79
47184.97,8.8
47185.96,8.8
47186.82,8.78
47187.09,8.8000
47187.10,8.8200
47187.81,8.79
47188.81,8.79
47189.11,8.8200
47189.12,8.8000
47189.14,8.8300
47190.79,8.79
47191.87,8.79
47192.83,8.8
47193.79,8.79
47194.12,8.8300
47194.13,8.9300
47194.8,8.81
47195.13,8.8600
47195.14,8.8400
47195.15,8.8300
47195.79,8.8
47197.94,8.8
47198.09,8.8400
47198.10,8.8300
47200.95,8.81
47201.94,8.81
47202.94,8.81
47203.87,8.83
47204.91,8.85
47205.08,8.8700
47205.09,8.8800
47208.9,8.83
47211.11,8.8500
47211.11,8.8900
47211.12,8.9000
47211.77,8.85
47212.77,8.86
47213.77,8.86
47214.8,8.86
47216.81,8.88
47218.06,8.8800
47218.07,8.8900
47218.82,8.87
47218.84,8.86
47219.04,8.9000
47219.82,8.87
47221.03,8.9000
47221.04,8.9000
47221.05,8.8900
47222.81,8.87
47223.81,8.87
47227.06,8.9000
47227.07,8.9000
47229.77,8.92
47231.03,8.9400
47231.04,8.9300
47231.05,8.9200
47232.79,8.93
47234.78,8.93
47235.75,8.92
47236.02,8.9700
47236.03,8.9400
47236.04,8.9600
47236.75,8.94
47238.75,8.95
47239.75,8.95
47240.05,9.0000
47240.06,8.9900
47240.07,9.0100
47240.75,8.95
47241.75,8.96
47242.75,8.96
47243.10,8.9800
47243.11,8.9900
47243.75,8.96
47245.04,8.9900
47245.05,8.9800
47245.75,8.97
47246.74,8.98
47247.74,8.99
47249.00,8.9900
47249.01,8.9700
47249.02,9.0000
47249.74,8.97
47250.74,9
47251.01,9.0100
47251.02,9.0000
47251.04,9.0200
47251.74,8.99
47252.74,8.99
47258.04,9.0500
47258.06,9.0300
47258.76,9.01
47259.73,9.02
47260.86,9.03
47261.73,9.02
47262.73,9.03
47263.73,9.04
47264.76,9.05
47265.00,9.0800
47265.01,9.0700
47265.78,9.06
47266.73,9.06
47267.73,9.06
47268.01,9.0900
47268.02,9.0800
47269.73,9.07
47271.03,9.1100
47271.05,9.1200
47273.73,9.07
47274.73,9.09
47276.00,9.1100
47276.01,9.1200
47276.02,9.1200
47277.74,9.09
47278.83,9.08
47279.87,9.12
47280.74,9.11
47281.73,9.12
47282.73,9.14
47283.73,9.14
47285.72,9.14
47286.01,9.1500
47286.03,9.1800
47286.71,9.16
47287.71,9.15
47288.71,9.18
47289.00,9.2000
47289.01,9.1700
47289.02,9.1700
47289.71,9.17
47290.72,9.19
47291.73,9.18
47296.72,9.19
47297.72,9.21
47298.74,9.22
47304.00,9.2700
47304.98,9.2800
47304.99,9.2500
47310.76,9.32
47316.76,9.36
47321.17,9.54
47322.17,9.41
47322.7,9.42
47326.03,9.4600
47327.72,9.4
47328.72,9.41
47329.72,9.41
47330.72,9.42
47333.74,9.46
47334.17,9.48
47336.17,9.46
47337.14,9.5
47343.16,9.51
47353.16,9.56
47354.15,9.65
47355.16,9.6
47356.13,9.61
47357.16,9.6
47359.13,9.64
47362.15,9.65
47364.13,9.68
47365.13,9.69
47366.13,9.69
47367.13,9.7
47368.12,9.72
47369.14,9.73
47370.14,9.75
47372.13,9.73
47373.15,9.74
