time,magnitude
47148.86,4.35
47151.15,4.6800
47151.16,4.6800
47151.17,4.6900
47151.84,4.38
47151.94,4.39
47152.93,4.4
47154.01,4.41
47154.94,4.42
47155.82,4.44
47156.83,4.44
47157.81,4.45
47158.14,4.7500
47158.15,4.7900
47158.16,4.7900
47158.84,4.46
47159.88,4.47
47162.08,4.49
47162.87,4.5
47163.9,4.51
47164.89,4.54
47165.9,4.54
47166.10,4.8700
47166.11,4.8500
47166.12,4.8400
47166.94,4.56
47167.87,4.56
47168.99,4.57
47169.81,4.58
47170.79,4.58
47171.11,4.8600
47171.12,4.8800
47171.13,4.9000
47171.9,4.59
47172.88,4.62
47173.9,4.63
47174.9,4.65
47175.8,4.65
47176.82,4.67
47177.88,4.67
47178.10,4.9600
47178.11,5.0100
47178.12,5.0100
47180.09,5.0200
47180.10,5.0300
47180.11,5.0200
47181.07,5.1000
47181.95,4.73
47182.96,4.73
47184.97,4.76
47185.96,4.77
47186.82,4.78
47187.09,5.1100
47187.10,5.1300
47187.81,4.8
47188.81,4.81
47189.11,5.1100
47189.12,5.1400
47189.14,5.1300
47190.79,4.83
47191.87,4.84
47192.83,4.85
47193.79,4.87
47194.12,5.1900
47194.13,5.2000
47194.8,4.88
47195.13,5.2000
47195.14,5.2000
47195.15,5.2100
47195.79,4.9
47197.94,4.93
47198.09,5.2100
47198.10,5.2300
47200.95,4.96
47201.94,4.96
47202.94,4.98
47203.87,4.99
47204.91,5.03
47205.08,5.3500
47205.09,5.3500
47208.9,5.04
47211.11,5.4000
47211.11,5.4200
47211.12,5.4300
47211.77,5.09
47212.77,5.1
47213.77,5.11
47214.8,5.13
47216.81,5.15
47218.06,5.4900
47218.07,5.4800
47218.82,5.18
47218.84,5.18
47219.04,5.4900
47219.82,5.18
47221.03,5.5300
47221.04,5.5200
47221.05,5.5200
47222.81,5.24
47223.81,5.25
47227.06,5.6200
47227.07,5.6100
47229.77,5.33
47231.03,5.6500
47231.04,5.6500
47231.05,5.6600
47232.79,5.36
47234.78,5.38
47235.75,5.39
47236.02,5.7300
47236.03,5.7400
47236.04,5.7500
47236.75,5.41
47238.75,5.43
47239.75,5.44
47240.05,5.8200
47240.06,5.8100
47240.07,5.8200
47240.75,5.46
47241.75,5.47
47242.75,5.48
47243.10,5.8400
47243.11,5.8500
47243.75,5.5
47245.04,5.8600
47245.04,5.8700
47245.05,5.8600
47245.75,5.53
47246.74,5.54
47247.74,5.56
47249.00,5.9300
47249.01,5.9100
47249.02,5.9300
47249.74,5.58
47250.74,5.58
47251.01,5.9600
47251.02,5.9500
47251.04,5.9500
47251.74,5.6
47252.74,5.62
47258.04,6.0600
47258.06,6.0400
47258.76,5.69
47259.73,5.7
47260.86,5.72
47261.73,5.72
47262.73,5.74
47263.73,5.76
47264.76,5.78
47265.00,6.1400
47265.01,6.1500
47265.78,5.78
47266.73,5.8
47267.73,5.81
47268.02,6.1800
47269.73,5.85
47271.03,6.2200
47271.05,6.2400
47273.73,5.89
47274.73,5.91
47276.00,6.2900
47276.01,6.2800
47276.02,6.2800
47277.74,5.95
47278.83,5.95
47279.87,5.98
47280.74,6
47281.73,6
47282.73,6.02
47283.73,6.04
47285.72,6.05
47286.01,6.4300
47286.03,6.4400
47286.71,6.08
47287.71,6.08
47288.71,6.11
47289.00,6.4700
47289.01,6.4800
47289.02,6.4700
47289.71,6.12
47290.72,6.13
47291.73,6.17
47296.72,6.22
47297.72,6.23
47298.74,6.24
47304.00,6.7100
47304.98,6.7100
47304.99,6.7100
47310.76,6.41
47316.76,6.5
47321.17,6.56
47322.17,6.58
47322.7,6.58
47326.01,7.0300
