time,magnitude
47121.96,5.77
47122.79,5.79
47122.97,5.79
47123.25,5.8700
47123.26,5.8700
47123.82,5.79
47124.02,5.8
47124.86,5.8
47125.95,5.82
47126.94,5.82
47128.84,5.84
47129.0,5.84
47130.23,5.9300
47130.24,5.9400
47130.26,5.9300
47130.87,5.86
47131.98,5.87
47132.92,5.88
47134.93,5.89
47135.19,5.9800
47135.20,5.9800
47135.89,5.91
47137.96,5.93
47140.84,5.95
47140.86,5.95
47141.89,5.97
47142.31,6.0500
47142.32,6.0600
47142.85,5.97
47143.86,5.98
47143.98,5.98
47144.78,5.99
47145.16,6.0700
47145.18,6.0800
47145.19,6.0800
47146.83,6
47147.13,6.1000
47147.15,6.1000
47147.79,6
47148.86,6.03
47151.15,6.1300
47151.16,6.1400
47151.17,6.1400
47151.84,6.06
47151.94,6.05
47152.93,6.06
47154.01,6.07
47154.94,6.09
47155.82,6.1
47156.83,6.11
47157.81,6.11
47158.14,6.1900
47158.15,6.2000
47158.16,6.2000
47158.84,6.12
47159.88,6.13
47162.08,6.15
47162.87,6.16
47163.9,6.16
47164.89,6.18
47165.9,6.18
47166.10,6.2900
47166.11,6.2600
47166.12,6.2700
47166.94,6.2
47167.87,6.2
47168.99,6.21
47169.81,6.23
47170.79,6.23
47171.11,6.3100
47171.12,6.3200
47171.13,6.3200
47171.9,6.24
47172.88,6.26
47173.9,6.27
47174.9,6.28
47175.8,6.28
47176.82,6.29
47177.88,6.3
47178.10,6.3700
47178.11,6.3700
47178.12,6.3900
47180.09,6.3900
47180.10,6.4100
47180.11,6.4000
47181.07,6.4500
47181.95,6.34
47182.96,6.35
47184.97,6.37
47185.96,6.38
47186.82,6.38
47187.09,6.4600
47187.10,6.4700
47187.81,6.4
47188.81,6.41
47189.11,6.4900
47189.12,6.4900
47189.14,6.4900
47190.79,6.42
47191.87,6.44
47192.83,6.44
47193.79,6.45
47194.12,6.5200
47194.13,6.5300
47194.8,6.46
47195.13,6.5400
47195.14,6.5400
47195.15,6.5400
47195.79,6.47
47197.94,6.49
47198.09,6.5700
47198.10,6.5700
47200.95,6.52
47201.94,6.53
47202.94,6.53
47203.87,6.55
47204.91,6.58
47205.08,6.6300
47205.09,6.6300
47208.9,6.59
47211.11,6.6900
47211.11,6.7000
47211.12,6.7100
47211.77,6.62
47212.77,6.62
47213.77,6.64
47214.8,6.66
47216.81,6.67
47218.06,6.7400
47218.07,6.7500
47218.82,6.68
47218.84,6.69
47219.04,6.7500
47219.82,6.71
47221.03,6.7900
47221.04,6.7800
47221.05,6.7800
47222.81,6.73
47223.81,6.74
47227.06,6.8500
47227.07,6.8400
47229.77,6.83
47231.03,6.8800
47231.04,6.8800
47231.05,6.8800
47232.79,6.83
47234.78,6.85
47235.75,6.86
47236.02,6.9400
47236.03,6.9300
47236.04,6.9400
47236.75,6.87
47238.75,6.89
47239.75,6.91
47240.05,6.9900
47240.06,6.9800
47240.07,6.9800
47240.75,6.91
47241.75,6.92
47242.75,6.93
47243.10,7.0000
47243.11,7.0000
47243.75,6.94
47245.04,7.0200
47245.05,7.0100
